hash,msg,insertions
40a7d3b6ac35d2ecb34e85fc3403d2e48e33874e,"Moved the trunk code into the trunk sub directory

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@356304 13f79535-47bb-0310-9956-ffa450edef68",194375
8f1763f078525b3cbfd30dd8389d3f61da56ac78,"Moved the trunk code into the trunk sub directory

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@356307 13f79535-47bb-0310-9956-ffa450edef68",899
262a5596d9300b7aded14d550cf8f5ee80d7ac0f,"optimisation; if a JMS exception has already been thrown then don't wrap it again

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@356519 13f79535-47bb-0310-9956-ffa450edef68",6
1835e4536984abac76c6d4317a73f1a7e851e960,"added some helper methods to make it easy to see the type of removal event

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@356522 13f79535-47bb-0310-9956-ffa450edef68",28
e1cfbad4bcb9d3342da0b198798db120914a1976,"added test case for using the BrokerService with JMX

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@356523 13f79535-47bb-0310-9956-ffa450edef68",29
e73312534da211c3d7a6388760c2ec045bd338b0,"add the conf directory to the classpath so that the release finds the log4j.properties file

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@356526 13f79535-47bb-0310-9956-ffa450edef68",2
9fb8ee2dcaad9dc900e293d8a77e09659e96599e,"added test case which demonstrates that you can start a JMS connection even when the broker is not there

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@356815 13f79535-47bb-0310-9956-ffa450edef68",88
1416f77de3054f75104a18527b2d343ae51e72a1,"added test cases to test release's activemq.xml. The test cases perform a publish/consume on both topic and queue.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@357139 13f79535-47bb-0310-9956-ffa450edef68",233
943eecc8d665401dc30e955173d4ffb3a00cbfb2,"added an m2 pom from George Gastaldi (who's a committer we just don't have his CLA on file yet)

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@357205 13f79535-47bb-0310-9956-ffa450edef68",214
6870470c6d6a7391358e05ebb1e4957c1b5fbf51,"Disabled http test, since it is not yet available.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@357307 13f79535-47bb-0310-9956-ffa450edef68",3
22307339a5079b5a847c30fb10727efc98409126,"Ported tcp test case. Explicitly specify not to use embedded broker in ActiveMQConnectionFactory.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@357310 13f79535-47bb-0310-9956-ffa450edef68",90
7c7cca9dfb8eb503e0a8eee5f5b21a7c30d888df,"added a helper class and strategy method for people wishing to implement their own custom MessageQuery strategies to be fired as a new subscriber is created

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@357712 13f79535-47bb-0310-9956-ffa450edef68",140
6d85b4b654b7bc9684c4a9940ffcdab1db0827c1,"putting a sub module directory layout for activeio



git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@357726 13f79535-47bb-0310-9956-ffa450edef68",203
b556bf814125c645d414a130950965f1216b95b7,"adding build files


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@357793 13f79535-47bb-0310-9956-ffa450edef68",126
9bae342ac16b1a4e08ff52aa0dfc1c47bb9a9ba9,"adding test.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@357795 13f79535-47bb-0310-9956-ffa450edef68",110
783744d8829f2f41cb0d9078dbb6182fbc422879,"added int missing meta inf file


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@357802 13f79535-47bb-0310-9956-ffa450edef68",1
2ab55ddb1d004ade70d365f0ecf6f1ff1ceb98a0,"added WebSphere 5.1 version of a JNDI context that works nicely with ActiveMQ

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@357969 13f79535-47bb-0310-9956-ffa450edef68",104
b18559dc40452d7c45182fa6dd49cb0b4d08de39,"updated marshallers.


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@358058 13f79535-47bb-0310-9956-ffa450edef68",14
14679fde39f1cd8654923992bfa26b773a514a91,"add missing command type definition


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@358064 13f79535-47bb-0310-9956-ffa450edef68",1
